,DFS_Count,DFS_Time,BFS_Count,BFS_Time
5,0,0.003989696502685547,0,0.003989219665527344
10,2,0.014959335327148438,1,0.007978677749633789
15,9,0.21179890632629395,1,0.05604362487792969
20,21,1.1883835792541504,3,0.14162158966064453
25,3,0.09474587440490723,0,0.015958786010742188
30,20,2.8246397972106934,2,0.18650126457214355
35,61,25.16444206237793,6,1.0567426681518555
40,30,11.653944253921509,2,0.3797030448913574
45,57,24.714138507843018,5,1.0199358463287354
50,57,47.5890851020813,2,0.7728028297424316
